,Name,Sample,Transformation,Description,# in Data76.m
163,Q1BEA10,1976:2 - 2005:6,5,Miscellaneous personal services,468
164,Q1BAR10,1976:2 - 2005:6,5,Brokerage charges and investment counseling,469
165,Q1WCR10,1976:2 - 2005:6,5,"Bank service charges, trust services, and safe deposit box rental",470
166,Q1CRP10,1976:2 - 2005:6,5,Commercial banks,471
167,Q1BRO10,1976:2 - 2005:6,5,Other financial institutions,472
168,Q1BNK10,1976:2 - 2005:6,5,Expense of handling life insurance and pension plans,473
169,Q1IMC10,1976:2 - 2005:6,5,Legal services,474
170,Q1IMN10,1976:2 - 2005:6,5,Funeral and burial expenses,475
171,Q1LIF10,1976:2 - 2005:6,5,Labor union expenses,476
172,Q1GAL10,1976:2 - 2005:6,5,Profession association expenses,477
173,Q1FUN10,1976:2 - 2005:6,5,Employment agency fees,478
174,Q1UNS10,1976:2 - 2005:6,5,Money orders,479
175,Q1ASS10,1976:2 - 2005:6,5,Classified ads,480
176,Q1GEN10,1976:2 - 2005:6,5,Tax return preparation services,481
177,Q1AMO10,1976:2 - 2005:6,5,"Personal business services, n.e.c.",482
178,Q1CLA10,1976:2 - 2005:6,5,Private higher education,483
179,Q1ACC10,1976:2 - 2005:6,5,Public higher education,484
180,Q1THE10,1976:2 - 2005:6,5,Elementary and secondary schools,485
181,Q1PED10,1976:2 - 2005:6,5,Nursery schools,486
182,Q1GED10,1976:2 - 2005:6,5,Commercial and vocational schools,487
183,Q1ESC10,1976:2 - 2005:6,5,Foundations and nonprofit research,488
184,Q1NSC10,1976:2 - 2005:6,5,Political organizations,489
185,Q1VED10,1976:2 - 2005:6,5,Museums and libraries,490
186,Q1RED10,1976:2 - 2005:6,5,Foundations to religion and welfare,491
187,Q1POL10,1976:2 - 2005:6,5,Social welfare,492
188,Q1MUS10,1976:2 - 2005:6,5,Religion,493
189,Q1FOU10,1976:2 - 2005:6,5,Foreign travel by U.S. residents,494
190,Q1WEL10,1976:2 - 2005:6,5,Less: Expenditures in the United States by nonresidents,495
191,Q1REL10,1976:2 - 2005:6,5,Durable goods,496
192,Q1FTR10,1976:2 - 2005:6,5,Nondurable goods,497
193,Q1EXF10,1976:2 - 2005:6,5,Services,498
194,QPCE,1976:2 - 2005:6,5,Personal Consumption Expenditures (all items),499
